Feature ID	Taxon
MN648462.1	NA;Arthropoda;Malacostraca;Decapoda;Parastacidae;Cherax;Cherax parvus;NA;NA;NA
NC_024029.1	NA;Arthropoda;Malacostraca;Decapoda;Parastacidae;Cherax;Cherax crassimanus;NA;NA;NA
KU821446.1	NA;Arthropoda;Malacostraca;Decapoda;Parastacidae;Cherax;Cherax peknyi;NA;NA;NA
KU821447.1	NA;Arthropoda;Malacostraca;Decapoda;Parastacidae;Cherax;Cherax peknyi;NA;NA;NA
KF827943.1	NA;Arthropoda;Malacostraca;Decapoda;Nephropidae;Metanephrops;Metanephrops thomsoni;NA;NA;NA
KP889215.1	NA;Arthropoda;Malacostraca;Decapoda;Nephropidae;Metanephrops;Metanephrops thomsoni;NA;NA;NA
MG199589.1	NA;Arthropoda;Malacostraca;Decapoda;Parastacidae;Cherax;Cherax quadricarinatus;NA;NA;NA
KF649852.1	NA;Arthropoda;Malacostraca;Decapoda;Parastacidae;Cherax;Cherax glaber;NA;NA;NA
L16770.1	NA;Chordata;Aves;Anseriformes;Anatidae;Anas;Anas platyrhynchos;NA;NA;NA
PX430294.1	NA;Chordata;Actinopteri;Scombriformes;Scombridae;Rastrelliger;Rastrelliger kanagurta;NA;NA;NA
EU555283.1	NA;Chordata;Actinopteri;Scombriformes;Scombridae;Rastrelliger;Rastrelliger brachysoma;NA;NA;NA
Rastrelliger	NA;Chordata;Actinopteri;Scombriformes;Scombridae;Rastrelliger;Rastrelliger kanagurta;NA;NA;NA
LC774639.1	NA;Chordata;Actinopteri;NA;Sphyraenidae;Sphyraena;Sphyraena obtusata;NA;NA;NA
LC774642.1	NA;Chordata;Actinopteri;NA;Sphyraenidae;Sphyraena;Sphyraena obtusata;NA;NA;NA
LC681786.1	NA;Chordata;Actinopteri;NA;Sphyraenidae;Sphyraena;Sphyraena pinguis;NA;NA;NA
LC654228.1	NA;Chordata;Actinopteri;NA;Sphyraenidae;Sphyraena;Sphyraena iburiensis;NA;NA;NA
PX430415.1	NA;Chordata;Actinopteri;NA;Sphyraenidae;Sphyraena;Sphyraena pinguis;NA;NA;NA
LC458217.2	NA;Chordata;Actinopteri;NA;Sphyraenidae;Sphyraena;Sphyraena pinguis;NA;NA;NA
Gymnothorax	NA;Chordata;Actinopteri;Anguilliformes;Muraenidae;Gymnothorax;Gymnothorax vicinus;NA;NA;NA
EU357803.1	NA;Chordata;Actinopteri;Scombriformes;Stromateidae;Pampus;Pampus sp. LY-2009;NA;NA;NA
AY161233.1	NA;Chordata;Actinopteri;Gadiformes;Macrouridae;Coryphaenoides;Coryphaenoides rupestris;NA;NA;NA
FJ215021.1	NA;Chordata;Actinopteri;Gadiformes;Macrouridae;Coryphaenoides;Coryphaenoides rupestris;NA;NA;NA
KX929892.1	NA;Chordata;Actinopteri;Gadiformes;Macrouridae;Coryphaenoides;Coryphaenoides rupestris;NA;NA;NA
MN399860.1	NA;Chordata;Actinopteri;Labriformes;Labridae;Cheilinus;Cheilinus oxycephalus;NA;NA;NA
PZ319383.1	NA;Chordata;Actinopteri;Labriformes;Labridae;Oxycheilinus;Oxycheilinus arenatus;NA;NA;NA
FJ215047.1	NA;Chordata;Actinopteri;Gadiformes;Merlucciidae;Macruronus;Macruronus novaezelandiae;NA;NA;NA
PZ253515.1	NA;Chordata;Actinopteri;Labriformes;Labridae;Paracheilinus;Paracheilinus carpenteri;NA;NA;NA
EU601181.1	NA;Chordata;Actinopteri;Labriformes;Labridae;Cetoscarus;Cetoscarus bicolor;NA;NA;NA
PQ628829.1	NA;Chordata;Actinopteri;NA;Sphyraenidae;Sphyraena;Sphyraena afra;NA;NA;NA
PX430412.1	NA;Chordata;Actinopteri;NA;Sphyraenidae;Sphyraena;Sphyraena jello;NA;NA;NA
LC774582.1	NA;Chordata;Actinopteri;Labriformes;Labridae;Calotomus;Calotomus japonicus;NA;NA;NA
Dicentrarchus	NA;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas rhodesiae;NA;NA;NA
HM114377.1	NA;Chordata;Actinopteri;Siluriformes;Callichthyidae;Callichthys;Callichthys callichthys;NA;NA;NA
AP006044.1	NA;Chordata;Actinopteri;Pleuronectiformes;Soleidae;Pardachirus;Pardachirus pavoninus;NA;NA;NA
KT596764.1	NA;Chordata;Mammalia;Perissodactyla;Equidae;Equus;Equus caballus;NA;NA;NA
OR575615.1	NA;Chordata;Actinopteri;Labriformes;Labridae;Oxycheilinus;Oxycheilinus bimaculatus;NA;NA;NA
OQ888791.1	NA;Chordata;Actinopteri;Batrachoidiformes;Batrachoididae;Opsanus;Opsanus beta;NA;NA;NA
OP056837.2	NA;Chordata;Actinopteri;Syngnathiformes;Aulostomidae;Aulostomus;Aulostomus maculatus;NA;NA;NA
MW036248.1	NA;Chordata;Actinopteri;Syngnathiformes;Mullidae;Upeneus;Upeneus sulphureus;NA;NA;NA
HM106491.1_1	NA;Chordata;Actinopteri;Osmeriformes;Salangidae;Mallotus;Mallotus villosus;NA;NA;NA
KP644354.1	NA;Chordata;Actinopteri;Gadiformes;Gadidae;Arctogadus;Arctogadus glacialis;NA;NA;NA
AP009535.1	NA;Chordata;Actinopteri;Tetraodontiformes;Tetraodontidae;Takifugu;Takifugu oblongus;NA;NA;NA
LC579333.2	NA;Chordata;Actinopteri;Tetraodontiformes;Tetraodontidae;Torquigener;Torquigener albomaculosus;NA;NA;NA
AP011937.1	NA;Chordata;Actinopteri;Tetraodontiformes;Tetraodontidae;Marilyna;Marilyna darwinii;NA;NA;NA
AP011939.1	NA;Chordata;Actinopteri;Tetraodontiformes;Tetraodontidae;Tylerius;Tylerius spinosissimus;NA;NA;NA
MT903228.1	NA;Chordata;Actinopteri;Tetraodontiformes;Tetraodontidae;Tylerius;Tylerius spinosissimus;NA;NA;NA
KT600981.1	NA;Chordata;Actinopteri;Tetraodontiformes;Tetraodontidae;Takifugu;Takifugu rubripes;NA;NA;NA
AP009530.1	NA;Chordata;Actinopteri;Tetraodontiformes;Tetraodontidae;Takifugu;Takifugu stictonotus;NA;NA;NA
AJ421455.1	NA;Chordata;Actinopteri;Tetraodontiformes;Tetraodontidae;Takifugu;Takifugu rubripes;NA;NA;NA
AP011926.1	NA;Chordata;Actinopteri;Tetraodontiformes;Tetraodontidae;Torquigener;Torquigener pleurogramma;NA;NA;NA
AP011913.1	NA;Chordata;Actinopteri;Tetraodontiformes;Tetraodontidae;Polyspina;Polyspina piosae;NA;NA;NA
