scientific_name,marker,ncbi_hits,common_name,source
Loligo media,12,0,squid,"FDA The Seafood List, 2023/07/21"
Loligo ocula,12,0,squid,"FDA The Seafood List, 2023/07/21"
Loligo plei,12,0,squid,"FDA The Seafood List, 2023/07/21"
Loligo vulgaris reynaudi,12,0,squid,"FDA The Seafood List, 2023/07/21"
Lolliguncula panamensis,12,0,squid,"FDA The Seafood List, 2023/07/21"
Lotella rhacina,12,0,morid cod,"FDA The Seafood List, 2023/07/21"
Loxorhynchus grandis,12,0,sheep crab,"FDA The Seafood List, 2023/07/21"
Lutjanus agennes,12,0,snapper,"FDA The Seafood List, 2023/07/21"
Lutjanus inermis,12,0,snapper,"FDA The Seafood List, 2023/07/21"
Lutjanus jordani,12,0,snapper,"FDA The Seafood List, 2023/07/21"
Lutjanus purpureus,12,0,snapper,"FDA The Seafood List, 2023/07/21"
Macoma nasuta,12,0,bentnose clam,"FDA The Seafood List, 2023/07/21"
Macrobrachium carcinus,12,0,freshwater shrimp,"FDA The Seafood List, 2023/07/21"
Macrobrachium ohione,12,0,freshwater shrimp,"FDA The Seafood List, 2023/07/21"
Macrocallista maculata,12,0,calico clam,"FDA The Seafood List, 2023/07/21"
Macrocallista nimbosa,12,0,venus clam,"FDA The Seafood List, 2023/07/21"
Macrotermes bellicosus,12,0,winged termite,"Halloran, Flore, Vantomme, Roos, ""Edible Insects in Sustainable Food Systems"""
Mactrellona alata,12,0,surfclam,"FDA The Seafood List, 2023/07/21"
Mactromeris catilliformis,12,0,surfclam,"FDA The Seafood List, 2023/07/21"
Mactromeris hemphillii,12,0,surfclam,"FDA The Seafood List, 2023/07/21"
Mactromeris polynyma,12,0,surfclam,"FDA The Seafood List, 2023/07/21"
Mactrotoma californica,12,0,surfclam,"FDA The Seafood List, 2023/07/21"
Mactrotoma fragilis,12,0,surfclam,"FDA The Seafood List, 2023/07/21"
Mactrotoma nasuta,12,0,surfclam,"FDA The Seafood List, 2023/07/21"
Maja squinado,12,0,spider crab,"FDA The Seafood List, 2023/07/21"
Malacoraja senta,12,0,skate,"FDA The Seafood List, 2023/07/21"
Manta hamiltoni,12,0,manta,"FDA The Seafood List, 2023/07/21"
Medusozoa,12,0,jellyfish,JL
Megabalanus psittacus,12,0,barnacle,"FDA The Seafood List, 2023/07/21"
Meganyctiphanes norvegica,12,0,krill,"FDA The Seafood List, 2023/07/21"
Melophorus bagoti,12,0,red honey ant,"Newton, ""The Oldest Foods on Earth"""
Menticirrhus undulatus,12,0,kingfish,"FDA The Seafood List, 2023/07/21"
Mercenaria campechiensis,12,0,clam,"FDA The Seafood List, 2023/07/21"
Mercluccius productus,12,0,pacific whiting,NOAA Fisheries
Metacarcinus edwardsii,12,0,rock crab,"FDA The Seafood List, 2023/07/21"
Metanephrops binghami,12,0,lobsterette,"FDA The Seafood List, 2023/07/21"
Metanephrops challengeri,12,0,lobsterette,"FDA The Seafood List, 2023/07/21"
Metapenaeus dobsoni,12,0,shrimp,"FDA The Seafood List, 2023/07/21"
Metapenaeus endeavouri,12,0,shrimp,"FDA The Seafood List, 2023/07/21"
Metapenaeus monoceros,12,0,shrimp,"FDA The Seafood List, 2023/07/21"
Meuschenia galii,12,0,leatherjacket,"FDA The Seafood List, 2023/07/21"
Meuschenia scaber,12,0,triggerfish,"FDA The Seafood List, 2023/07/21"
Microcosmus sabatieri,12,0,sea fig,JL
Micromesistius australis,12,0,blue whiting,"FDA The Seafood List, 2023/07/21"
Micropterus notius,12,0,bass,"FDA The Seafood List, 2023/07/21"
Monochamus versteegi,12,0,beetle,"Halloran, Flore, Vantomme, Roos, ""Edible Insects in Sustainable Food Systems"""
Morone chrysops x Morone saxatilis,12,0,striped bass hybrid,FAO Cultured Aquatic Species Fact Sheets
Morone mississippiensis,12,0,bass,"FDA The Seafood List, 2023/07/21"
Morone saxatilis x Morone chrysops,12,0,bass,"FDA The Seafood List, 2023/07/21"
Mugil gaimardianus,12,0,mullet,"FDA The Seafood List, 2023/07/21"
Mugil gyrans,12,0,mullet,"FDA The Seafood List, 2023/07/21"
Mugiloides chilensis,12,0,sandperch,"FDA The Seafood List, 2023/07/21"
Mugiloides fasciatus,12,0,sandperch,"FDA The Seafood List, 2023/07/21"
Mulinia edulis,12,0,surfclam,"FDA The Seafood List, 2023/07/21"
Muraena melanotis,12,0,moray eel,"FDA The Seafood List, 2023/07/21"
Muraena robusta,12,0,moray eel,"FDA The Seafood List, 2023/07/21"
Mustelus antarcticus,12,0,dogfish shark,"FDA The Seafood List, 2023/07/21"
Mustelus californicus,12,0,shark,"FDA The Seafood List, 2023/07/21"
Mustelus lenticulatus,12,0,dogfish shark,"FDA The Seafood List, 2023/07/21"
