scientific_name,common_name,source,total_12S_hits,vert_12S_hits,is_vertebrate
Metanephrops rubellus,lobsterette,"FDA The Seafood List, 2023/07/21",1,0,FALSE
Modiolus barbatus,mussel,"FDA The Seafood List, 2023/07/21",1,0,FALSE
Palinurus elephas,spiny lobster,"FDA The Seafood List, 2023/07/21",1,0,FALSE
Palinurus mauritanicus,spiny lobster,"FDA The Seafood List, 2023/07/21",1,0,FALSE
Panulirus inflatus,spiny lobster,"FDA The Seafood List, 2023/07/21",1,0,FALSE
Panulirus regius,spiny lobster,"FDA The Seafood List, 2023/07/21",1,0,FALSE
Paralomis granulosa,deepsea crab,"FDA The Seafood List, 2023/07/21",1,0,FALSE
Pecten albicans,scallop,"FDA The Seafood List, 2023/07/21",1,0,FALSE
Penaeus esculentus,brown tiger prawn,SJ,1,0,FALSE
Pleoticus robustus,royal shrimp,"FDA The Seafood List, 2023/07/21",1,0,FALSE
Ruspolia nitidula,senene,"Halloran, Flore, Vantomme, Roos, ""Edible Insects in Sustainable Food Systems""",1,0,FALSE
Scyllarides brasiliensis,slipper lobster,"FDA The Seafood List, 2023/07/21",1,0,FALSE
Sergia lucens,shrimp,"FDA The Seafood List, 2023/07/21",1,0,FALSE
Solenocera agassizii,shrimp,"FDA The Seafood List, 2023/07/21",1,0,FALSE
Trophon geversianus,sea snail,"FDA The Seafood List, 2023/07/21",1,0,FALSE
Acetes japonicus,shrimp,"FDA The Seafood List, 2023/07/21",1,0,FALSE
Aequipecten glyptus,scallop,"FDA The Seafood List, 2023/07/21",1,0,FALSE
