scientific_name,common_name,source,total_12S_hits,vert_12S_hits,is_vertebrate
Polyprion oxygeneios,sea bass,"FDA The Seafood List, 2023/07/21",1,1,TRUE
Pristipomoides flavipinnis,jobfish,"FDA The Seafood List, 2023/07/21",1,1,TRUE
Pseudapocryptes elongatus,goby,"FDA The Seafood List, 2023/07/21",1,1,TRUE
Puntius chola,punti,"FDA The Seafood List, 2023/07/21",1,1,TRUE
Rhinobatos lentiginosus,guitarfish,"FDA The Seafood List, 2023/07/21",1,1,TRUE
Rhombosolea leporina,flounder,"FDA The Seafood List, 2023/07/21",1,1,TRUE
Rhombosolea tapirina,flounder,"FDA The Seafood List, 2023/07/21",1,1,TRUE
Samariscus triocellatus,flounder,"FDA The Seafood List, 2023/07/21",1,1,TRUE
Sarda chiliensis,bonito,"FDA The Seafood List, 2023/07/21",1,1,TRUE
Sardinella fimbriata,sardine,"FDA The Seafood List, 2023/07/21",1,1,TRUE
Sciades parkeri,gilleybaka,"FDA The Seafood List, 2023/07/21",1,1,TRUE
Sebastes atrovirens,rockfish,"FDA The Seafood List, 2023/07/21",1,1,TRUE
Sebastes capensis,scorpionfish,"FDA The Seafood List, 2023/07/21",1,1,TRUE
Sebastes chlorostictus,rockfish,"FDA The Seafood List, 2023/07/21",1,1,TRUE
Sebastes chrysomelas,rockfish,"FDA The Seafood List, 2023/07/21",1,1,TRUE
Sebastes ensifer,rockfish,"FDA The Seafood List, 2023/07/21",1,1,TRUE
Sebastes gilli,rockfish,"FDA The Seafood List, 2023/07/21",1,1,TRUE
Sebastes lentiginosus,rockfish,"FDA The Seafood List, 2023/07/21",1,1,TRUE
Sebastes levis,rockfish,"FDA The Seafood List, 2023/07/21",1,1,TRUE
Sebastes melanosema,rockfish,"FDA The Seafood List, 2023/07/21",1,1,TRUE
Sebastes phillipsi,rockfish,"FDA The Seafood List, 2023/07/21",1,1,TRUE
Sebastes rastrelliger,rockfish,"FDA The Seafood List, 2023/07/21",1,1,TRUE
Sebastes rufinanus,rockfish,"FDA The Seafood List, 2023/07/21",1,1,TRUE
Sebastes serranoides,rockfish,"FDA The Seafood List, 2023/07/21",1,1,TRUE
Sebastes serriceps,rockfish,"FDA The Seafood List, 2023/07/21",1,1,TRUE
Seriolella punctata,warehou,"FDA The Seafood List, 2023/07/21",1,1,TRUE
Sillago domina,whiting,"FDA The Seafood List, 2023/07/21",1,1,TRUE
Sphyraena ensis,barracuda,"FDA The Seafood List, 2023/07/21",1,1,TRUE
